iso_code,location,continent,date,new_cases,new_cases_per_million,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths,new_deaths_per_million,new_deaths_smoothed,new_deaths_smoothed_per_million,new_tests,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,new_vaccinations,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred,people_vaccinated,people_vaccinated_per_hundred,positive_rate,tests_per_case,tests_units,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,total_vaccinations_per_hundred
IDN,Indonesia,Asia,2020-03-02,2,0.007,,,,,,,,,,,,,,,,,,,,,2,0.007,,,,,,
IDN,Indonesia,Asia,2020-03-03,0,0,,,,,,,,,,,,,,,,,,,,,2,0.007,,,,,,
IDN,Indonesia,Asia,2020-03-04,0,0,,,,,,,,,,,,,,,,,,,,,2,0.007,,,,,,
IDN,Indonesia,Asia,2020-03-05,0,0,,,,,,,,,,,,,,,,,,,,,2,0.007,,,,,,
IDN,Indonesia,Asia,2020-03-06,2,0.007,,,,,,,,,,,,,,,,,,,,,4,0.014,,,,,,
IDN,Indonesia,Asia,2020-03-07,0,0,0.571,0.002,,,0,0,,,,,,,,,,,,,,,4,0.014,,,,,,
IDN,Indonesia,Asia,2020-03-08,2,0.007,0.857,0.003,,,0,0,,,,,,,,,,,,,,,6,0.022,,,,,,
IDN,Indonesia,Asia,2020-03-09,13,0.047,2.429,0.009,,,0,0,,,,,,,,,,,,,,,19,0.069,,,,,,
IDN,Indonesia,Asia,2020-03-10,8,0.029,3.571,0.013,,,0,0,,,,,,,,,,,,,,,27,0.098,,,,,,
IDN,Indonesia,Asia,2020-03-11,7,0.025,4.571,0.017,1,0.004,0.143,0.001,,,,,,,,,,,,,,,34,0.123,1,0.004,,,,
IDN,Indonesia,Asia,2020-03-12,0,0,4.571,0.017,0,0,0.143,0.001,,,,,,,,,,,,,,,34,0.123,1,0.004,,,,
IDN,Indonesia,Asia,2020-03-13,35,0.127,9.286,0.034,3,0.011,0.571,0.002,,,,,,,,,,,,,,,69,0.25,4,0.014,,,,
IDN,Indonesia,Asia,2020-03-14,27,0.098,13.143,0.048,1,0.004,0.714,0.003,,,,,,,,,,,,,,,96,0.347,5,0.018,,,,
IDN,Indonesia,Asia,2020-03-15,21,0.076,15.857,0.057,0,0,0.714,0.003,,,,,,,,,,,,,,,117,0.423,5,0.018,,,,
IDN,Indonesia,Asia,2020-03-16,17,0.062,16.429,0.059,0,0,0.714,0.003,,,,,,,,,,,,,,people tested,134,0.485,5,0.018,1230,0.004,,
IDN,Indonesia,Asia,2020-03-17,38,0.138,20.714,0.075,0,0,0.714,0.003,25,0,,,,,,,,,,,,people tested,172,0.622,5,0.018,1255,0.005,,
IDN,Indonesia,Asia,2020-03-18,55,0.199,27.571,0.1,14,0.051,2.571,0.009,,,,,,,,,,,,,,people tested,227,0.821,19,0.069,,,,
IDN,Indonesia,Asia,2020-03-19,84,0.304,39.571,0.143,6,0.022,3.429,0.012,,,,,,,,,,,,,,people tested,311,1.125,25,0.09,1651,0.006,,
IDN,Indonesia,Asia,2020-03-20,58,0.21,42.857,0.155,7,0.025,4,0.014,247,0.001,,,,,,,,,,,,people tested,369,1.335,32,0.116,1898,0.007,,
IDN,Indonesia,Asia,2020-03-21,81,0.293,50.571,0.183,6,0.022,4.714,0.017,,,,,,,,,,,,,,people tested,450,1.628,38,0.138,,,,
IDN,Indonesia,Asia,2020-03-22,64,0.232,56.714,0.205,10,0.036,6.143,0.022,,,,,,,,,,,,,,people tested,514,1.86,48,0.174,2409,0.009,,
IDN,Indonesia,Asia,2020-03-23,65,0.235,63.571,0.23,1,0.004,6.286,0.023,74,0,179,0.001,,,,,,,,0.355,2.8,people tested,579,2.095,49,0.177,2483,0.009,,
